"Summary","Issue Type","Description","Priority","Labels","Epic Name","Epic Link","Story Points"
"Sub-task: QA — SA-03 acceptance","Sub-task","Given/When/Then: KPIs aggregate all divisions; clicking a division filters without reload; load < 3s (§23).","High","poms,qa","","",""
"SA-04: As a Super Admin, I want to manage users, force password resets and deactivate accounts, so that access stays current","Story","Acceptance criteria: Deactivated users cannot authenticate; forced-reset flags demand a new password at next login. Trace: §6.2 | MoSCoW: Must","High","poms,super-admin,sa-04","","","3"
"Sub-task: Backend — SA-04","Sub-task","API + business rules for SA-04 (§6.2), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — SA-04","Sub-task","UI support for SA-04 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — SA-04 acceptance","Sub-task","Given/When/Then: Deactivated users cannot authenticate; forced-reset flags demand a new password at next login.","High","poms,qa","","",""
"SA-05: As a Super Admin, I want to have a filterable, exportable enterprise audit log with before/after values, so that I can verify accountability","Story","Acceptance criteria: Every critical change shows actor, timestamp, before/after; audit rows cannot be updated or deleted even at DB level. Trace: §17, RB-015 | MoSCoW: Must","High","poms,super-admin,sa-05","","","5"
"Sub-task: Backend — SA-05","Sub-task","API + business rules for SA-05 (§17, RB-015), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — SA-05","Sub-task","UI support for SA-05 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — SA-05 acceptance","Sub-task","Given/When/Then: Every critical change shows actor, timestamp, before/after; audit rows cannot be updated or deleted even at DB level.","High","poms,qa","","",""
"SA-06: As a Super Admin, I want to have an exception queue for POs whose approval rule evaluation fails, so that procurement never silently stalls","Story","Acceptance criteria: Given no matching rule, when a PO is submitted, then it appears in the Super Admin exception queue and is not issuable until actioned. Trace: §25 | MoSCoW: Should","Medium","poms,super-admin,sa-06","","","3"
"Sub-task: Backend — SA-06","Sub-task","API + business rules for SA-06 (§25), permission-gated and audit-logged.","Medium","poms,backend","","",""
"Sub-task: Frontend — SA-06","Sub-task","UI support for SA-06 per §19 UX standards (no dead buttons, no fake metrics).","Medium","poms,frontend","","",""
"Sub-task: QA — SA-06 acceptance","Sub-task","Given/When/Then: Given no matching rule, when a PO is submitted, then it appears in the Super Admin exception queue and is not issuable until actioned.","Medium","poms,qa","","",""
"DA-01: As a Domain Admin, I want to add/edit/activate/deactivate/archive sections for my division, so that the catalogue evolves without code deployment","Story","Acceptance criteria: Given a section with transaction history, when I click Delete, then Archive/Deactivate is offered instead (RB-014). Trace: §8.4, TC-03 | MoSCoW: Must","High","poms,domain-admin,da-01","","","5"
"Sub-task: Backend — DA-01","Sub-task","API + business rules for DA-01 (§8.4, TC-03), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — DA-01","Sub-task","UI support for DA-01 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — DA-01 acceptance","Sub-task","Given/When/Then: Given a section with transaction history, when I click Delete, then Archive/Deactivate is offered instead (RB-014).","High","poms,qa","","",""
"DA-02: As a Domain Admin, I want to manage dealers (create, payment terms, division assignment), so that purchasing always has valid suppliers","Story","Acceptance criteria: Given an inactive supplier, new PO selection is blocked; existing drafts remain readable (§25). Trace: §11.1 | MoSCoW: Must","High","poms,domain-admin,da-02","","","3"
"Sub-task: Backend — DA-02","Sub-task","API + business rules for DA-02 (§11.1), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — DA-02","Sub-task","UI support for DA-02 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — DA-02 acceptance","Sub-task","Given/When/Then: Given an inactive supplier, new PO selection is blocked; existing drafts remain readable (§25).","High","poms,qa","","",""
"DA-03: As a Domain Admin, I want to have a division dashboard (POs, values, pending approvals, section spend), so that I can manage branch procurement","Story","Acceptance criteria: Only own-division data is visible (RB-018); pending approvals link to the decision view. Trace: §16.2 | MoSCoW: Must","High","poms,domain-admin,da-03","","","5"
"Sub-task: Backend — DA-03","Sub-task","API + business rules for DA-03 (§16.2), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — DA-03","Sub-task","UI support for DA-03 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — DA-03 acceptance","Sub-task","Given/When/Then: Only own-division data is visible (RB-018); pending approvals link to the decision view.","High","poms,qa","","",""
"DA-04: As a Domain Admin, I want to import master data via wizard with row-level error reports, so that bulk setup is safe","Story","Acceptance criteria: Given a file with 3 invalid rows, valid rows are staged, errors listed with row numbers, nothing inserts silently. Trace: §25, App A #28 | MoSCoW: Should","Medium","poms,domain-admin,da-04","","","5"
"Sub-task: Backend — DA-04","Sub-task","API + business rules for DA-04 (§25, App A #28), permission-gated and audit-logged.","Medium","poms,backend","","",""
"Sub-task: Frontend — DA-04","Sub-task","UI support for DA-04 per §19 UX standards (no dead buttons, no fake metrics).","Medium","poms,frontend","","",""
"Sub-task: QA — DA-04 acceptance","Sub-task","Given/When/Then: Given a file with 3 invalid rows, valid rows are staged, errors listed with row numbers, nothing inserts silently.","Medium","poms,qa","","",""
"DA-05: As a Domain Admin, I want to have section lifecycle changes audit-logged automatically, so that history is provable","Story","Acceptance criteria: Every add/edit/activate/archive writes an audit event with user, timestamp, previous and new state. Trace: §8.4, RB-015 | MoSCoW: Must","High","poms,domain-admin,da-05","","","2"
"Sub-task: Backend — DA-05","Sub-task","API + business rules for DA-05 (§8.4, RB-015), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — DA-05","Sub-task","UI support for DA-05 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — DA-05 acceptance","Sub-task","Given/When/Then: Every add/edit/activate/archive writes an audit event with user, timestamp, previous and new state.","High","poms,qa","","",""
"PE-01: As a Purchase Executive, I want to use a guided PO creation flow scoped to my division, so that I cannot enter invalid combinations","Story","Acceptance criteria: Steps enforce division → department → active section → supplier → product → quantities ordering; inactive masters are not selectable (RB-002). Trace: §12.2 | MoSCoW: Must","High","poms,purchase-executive,pe-01","","","8"
"Sub-task: Backend — PE-01","Sub-task","API + business rules for PE-01 (§12.2), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — PE-01","Sub-task","UI support for PE-01 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — PE-01 acceptance","Sub-task","Given/When/Then: Steps enforce division → department → active section → supplier → product → quantities ordering; inactive masters are not selectable (RB-002).","High","poms,qa","","",""
"PE-02: As a Purchase Executive, I want to use an inline ""Other"" form for Brand/Product/Colour/Dealer, so that I am never blocked by a missing master entry","Story","Acceptance criteria: Inline form validates, visibly flags custom entries (RB-016) and optionally promotes to master — no navigation away. Trace: §10.3, TC-07 | MoSCoW: Must","High","poms,purchase-executive,pe-02","","","5"
"Sub-task: Backend — PE-02","Sub-task","API + business rules for PE-02 (§10.3, TC-07), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — PE-02","Sub-task","UI support for PE-02 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — PE-02 acceptance","Sub-task","Given/When/Then: Inline form validates, visibly flags custom entries (RB-016) and optionally promotes to master — no navigation away.","High","poms,qa","","",""
"PE-03: As a Purchase Executive, I want to have a colour × size matrix with running totals and keyboard navigation, so that large apparel orders are entered fast","Story","Acceptance criteria: Given Standard Apparel sizing, columns S–XXXL render; entering 5/10/12/10/6/2 shows live total 45 = stored total (RB-006); Tab moves cell-to-cell. Trace: §9.3, §12.3, SC-6 | MoSCoW: Must","High","poms,purchase-executive,pe-03","","","8"
"Sub-task: Backend — PE-03","Sub-task","API + business rules for PE-03 (§9.3, §12.3, SC-6), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — PE-03","Sub-task","UI support for PE-03 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — PE-03 acceptance","Sub-task","Given/When/Then: Given Standard Apparel sizing, columns S–XXXL render; entering 5/10/12/10/6/2 shows live total 45 = stored total (RB-006); Tab moves cell-to-cell.","High","poms,qa","","",""
"PE-04: As a Purchase Executive, I want to have draft autosave and resume after re-login, so that long entries survive interruptions","Story","Acceptance criteria: After session loss and re-auth, the draft is intact; commercials re-confirmed before submit. Trace: §25 | MoSCoW: Should","Medium","poms,purchase-executive,pe-04","","","3"
"Sub-task: Backend — PE-04","Sub-task","API + business rules for PE-04 (§25), permission-gated and audit-logged.","Medium","poms,backend","","",""
"Sub-task: Frontend — PE-04","Sub-task","UI support for PE-04 per §19 UX standards (no dead buttons, no fake metrics).","Medium","poms,frontend","","",""
"Sub-task: QA — PE-04 acceptance","Sub-task","Given/When/Then: After session loss and re-auth, the draft is intact; commercials re-confirmed before submit.","Medium","poms,qa","","",""
"PE-05: As a Purchase Executive, I want to submit a completed draft for approval, so that procurement proceeds","Story","Acceptance criteria: Submit is idempotent — a network retry never creates duplicate POs; status becomes submitted with notifications. Trace: §12.2 step 12, §25 | MoSCoW: Must","High","poms,purchase-executive,pe-05","","","3"
"Sub-task: Backend — PE-05","Sub-task","API + business rules for PE-05 (§12.2 step 12, §25), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — PE-05","Sub-task","UI support for PE-05 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — PE-05 acceptance","Sub-task","Given/When/Then: Submit is idempotent — a network retry never creates duplicate POs; status becomes submitted with notifications.","High","poms,qa","","",""
"PM-01: As a Purchase Manager, I want to create/edit POs with commercial details within policy, so that I own division purchasing","Story","Acceptance criteria: Given policy caps discount at 15%, entering 20% blocks or routes to exception approval per configuration (RB-009). Trace: §6.1, RB-009/010 | MoSCoW: Must","High","poms,purchase-manager,pm-01","","","5"
"Sub-task: Backend — PM-01","Sub-task","API + business rules for PM-01 (§6.1, RB-009/010), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — PM-01","Sub-task","UI support for PM-01 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — PM-01 acceptance","Sub-task","Given/When/Then: Given policy caps discount at 15%, entering 20% blocks or routes to exception approval per configuration (RB-009).","High","poms,qa","","",""
"PM-02: As a Purchase Manager, I want to amend an approved/issued PO via a version event, so that changes are governed, not silent","Story","Acceptance criteria: Editing a line on an approved PO creates version 2, snapshots the previous version and re-runs approval routing. Trace: §14.3, RB-011 | MoSCoW: Must","High","poms,purchase-manager,pm-02","","","5"
"Sub-task: Backend — PM-02","Sub-task","API + business rules for PM-02 (§14.3, RB-011), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — PM-02","Sub-task","UI support for PM-02 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — PM-02 acceptance","Sub-task","Given/When/Then: Editing a line on an approved PO creates version 2, snapshots the previous version and re-runs approval routing.","High","poms,qa","","",""
"PM-03: As a Purchase Manager, I want to see a pre-submit review with server-calculated totals and validation results, so that errors are caught early","Story","Acceptance criteria: Review screen shows recomputed totals and all rule violations before submit is possible. Trace: §12.2 step 11, RB-017 | MoSCoW: Must","High","poms,purchase-manager,pm-03","","","3"
"Sub-task: Backend — PM-03","Sub-task","API + business rules for PM-03 (§12.2 step 11, RB-017), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — PM-03","Sub-task","UI support for PM-03 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — PM-03 acceptance","Sub-task","Given/When/Then: Review screen shows recomputed totals and all rule violations before submit is possible.","High","poms,qa","","",""
"AP-01: As a Approver, I want to have a pending-approval queue sorted by age and value, so that I triage effectively","Story","Acceptance criteria: Queue lists open instances at my level, oldest first, with value and rule context. Trace: §19.2, §16 | MoSCoW: Must","High","poms,approver,ap-01","","","3"
"Sub-task: Backend — AP-01","Sub-task","API + business rules for AP-01 (§19.2, §16), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — AP-01","Sub-task","UI support for AP-01 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — AP-01 acceptance","Sub-task","Given/When/Then: Queue lists open instances at my level, oldest first, with value and rule context.","High","poms,qa","","",""
"AP-02: As a Approver, I want to Approve / Reject / Send Back / Hold / Escalate, so that all governance paths exist","Story","Acceptance criteria: Reject without reason is blocked in UI and API and by DB constraint (RB-012); approval advances levels; final approval unlocks issue. Trace: §14.2 | MoSCoW: Must","High","poms,approver,ap-02","","","5"
"Sub-task: Backend — AP-02","Sub-task","API + business rules for AP-02 (§14.2), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — AP-02","Sub-task","UI support for AP-02 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — AP-02 acceptance","Sub-task","Given/When/Then: Reject without reason is blocked in UI and API and by DB constraint (RB-012); approval advances levels; final approval unlocks issue.","High","poms,qa","","",""
"AP-03: As a Approver, I want to see full PO detail (lines, matrix, commercials, timeline) in the decision view, so that I can judge commercial merit","Story","Acceptance criteria: Timeline shows Created → Submitted → Reviewed… with actor + timestamp per event. Trace: §17.3 | MoSCoW: Must","High","poms,approver,ap-03","","","3"
"Sub-task: Backend — AP-03","Sub-task","API + business rules for AP-03 (§17.3), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — AP-03","Sub-task","UI support for AP-03 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — AP-03 acceptance","Sub-task","Given/When/Then: Timeline shows Created → Submitted → Reviewed… with actor + timestamp per event.","High","poms,qa","","",""
"RC-01: As a Receiving User, I want to create a receipt against an issued PO selecting lines, so that goods receipt is tied to the exact order","Story","Acceptance criteria: Only issued/partially-received POs are receivable; receipt stores invoice and delivery metadata. Trace: §15 | MoSCoW: Must","High","poms,receiving-user,rc-01","","","5"
"Sub-task: Backend — RC-01","Sub-task","API + business rules for RC-01 (§15), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — RC-01","Sub-task","UI support for RC-01 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — RC-01 acceptance","Sub-task","Given/When/Then: Only issued/partially-received POs are receivable; receipt stores invoice and delivery metadata.","High","poms,qa","","",""
"RC-02: As a Receiving User, I want to record Received/Damaged/Rejected per line with Accepted auto-computed, so that the 5-quantity model stays consistent","Story","Acceptance criteria: Given ordered 80, received 70 / damaged 5 / rejected 5 → Accepted 60, inventory increases by 60. Trace: §15.1/15.4 | MoSCoW: Must","High","poms,receiving-user,rc-02","","","5"
"Sub-task: Backend — RC-02","Sub-task","API + business rules for RC-02 (§15.1/15.4), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — RC-02","Sub-task","UI support for RC-02 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — RC-02 acceptance","Sub-task","Given/When/Then: Given ordered 80, received 70 / damaged 5 / rejected 5 → Accepted 60, inventory increases by 60.","High","poms,qa","","",""
"RC-03: As a Receiving User, I want to have over-receipt blocked, so that inventory never exceeds order without authorization","Story","Acceptance criteria: Given pending 10, receiving 15 is blocked with a clear message (RB-013). Trace: §25 | MoSCoW: Must","High","poms,receiving-user,rc-03","","","3"
"Sub-task: Backend — RC-03","Sub-task","API + business rules for RC-03 (§25), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — RC-03","Sub-task","UI support for RC-03 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — RC-03 acceptance","Sub-task","Given/When/Then: Given pending 10, receiving 15 is blocked with a clear message (RB-013).","High","poms,qa","","",""
"RC-04: As a Receiving User, I want to see the PO auto-transition Partially Received → Received → Closed, so that status is always accurate","Story","Acceptance criteria: All pending zero after posting → Received; partial keeps Partially Received; manual close available. Trace: §31.1, RB-013 | MoSCoW: Must","High","poms,receiving-user,rc-04","","","3"
"Sub-task: Backend — RC-04","Sub-task","API + business rules for RC-04 (§31.1, RB-013), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — RC-04","Sub-task","UI support for RC-04 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — RC-04 acceptance","Sub-task","Given/When/Then: All pending zero after posting → Received; partial keeps Partially Received; manual close available.","High","poms,qa","","",""
"VW-01: As a Viewer, I want to use read-only dashboards and reports scoped to my assignment, so that I get insight without write risk","Story","Acceptance criteria: Any write endpoint returns 403; reports show only division-scoped rows. Trace: §6.1, RB-018 | MoSCoW: Must","High","poms,viewer,vw-01","","","2"
"Sub-task: Backend — VW-01","Sub-task","API + business rules for VW-01 (§6.1, RB-018), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — VW-01","Sub-task","UI support for VW-01 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — VW-01 acceptance","Sub-task","Given/When/Then: Any write endpoint returns 403; reports show only division-scoped rows.","High","poms,qa","","",""
"VW-02: As a Viewer, I want to export visible reports to CSV/Excel/PDF, so that I can share analysis","Story","Acceptance criteria: CSV export produces the same filtered dataset the viewer can see, nothing more. Trace: §16.4 | MoSCoW: Should","Medium","poms,viewer,vw-02","","","2"
"Sub-task: Backend — VW-02","Sub-task","API + business rules for VW-02 (§16.4), permission-gated and audit-logged.","Medium","poms,backend","","",""
"Sub-task: Frontend — VW-02","Sub-task","UI support for VW-02 per §19 UX standards (no dead buttons, no fake metrics).","Medium","poms,frontend","","",""
"Sub-task: QA — VW-02 acceptance","Sub-task","Given/When/Then: CSV export produces the same filtered dataset the viewer can see, nothing more.","Medium","poms,qa","","",""
"AU-01: As a Auditor, I want to have read-only audit logs with before/after JSON, user, role, timestamp, so that any change is reconstructable","Story","Acceptance criteria: Every field change shows old → new with actor and timestamp; UPDATE/DELETE on audit rows is impossible at DB level. Trace: §17.1, SC-8 | MoSCoW: Must","High","poms,auditor,au-01","","","3"
"Sub-task: Backend — AU-01","Sub-task","API + business rules for AU-01 (§17.1, SC-8), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — AU-01","Sub-task","UI support for AU-01 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — AU-01 acceptance","Sub-task","Given/When/Then: Every field change shows old → new with actor and timestamp; UPDATE/DELETE on audit rows is impossible at DB level.","High","poms,qa","","",""
"AU-02: As a Auditor, I want to see PO version history side-by-side, so that amendments are reviewable","Story","Acceptance criteria: Version chain v1→v2 lists each version with totals and status. Trace: §14.3 | MoSCoW: Must","High","poms,auditor,au-02","","","3"
"Sub-task: Backend — AU-02","Sub-task","API + business rules for AU-02 (§14.3), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — AU-02","Sub-task","UI support for AU-02 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — AU-02 acceptance","Sub-task","Given/When/Then: Version chain v1→v2 lists each version with totals and status.","High","poms,qa","","",""
"AU-03: As a Auditor, I want to export audit findings, so that evidence packs can be produced","Story","Acceptance criteria: Audit export yields CSV with all filters applied. Trace: §16.3 | MoSCoW: Should","Medium","poms,auditor,au-03","","","2"
"Sub-task: Backend — AU-03","Sub-task","API + business rules for AU-03 (§16.3), permission-gated and audit-logged.","Medium","poms,backend","","",""
"Sub-task: Frontend — AU-03","Sub-task","UI support for AU-03 per §19 UX standards (no dead buttons, no fake metrics).","Medium","poms,frontend","","",""
"Sub-task: QA — AU-03 acceptance","Sub-task","Given/When/Then: Audit export yields CSV with all filters applied.","Medium","poms,qa","","",""
